city,state,date_time,shape,duration
Denver,CO,2017-08-24T05:00:00,changing,21 - 30 minutes
Carlisle,OH,2017-08-24T03:45:00,light,1 - 5 minutes
Charlotte,NC,2017-08-24T02:00:00,flash,< 1 minute
Rochester Hills,MI,2017-08-23T21:48:00,sphere,< 1 minute
Treasure Island,FL,2017-08-23T21:45:00,changing,1 - 5 minutes
Buffalo,NY,2017-08-23T21:30:00,flash,1 - 5 minutes
Shepherdsville,KY,2017-08-23T21:30:00,fireball,1 - 5 minutes
Corona,CA,2017-08-23T17:30:00,sphere,61 - 120 minutes
New Lenox,IL,2017-08-23T04:30:00,oval,< 1 minute
Barrhead,AB,2017-08-23T01:00:00,diamond,< 1 minute
Spring Valley,OH,2017-08-23T00:00:00,cigar,1 - 5 minutes
Louisville,KY,2017-08-22T23:45:00,triangle,1 - 5 minutes
Coulee Dam,WA,2017-08-22T23:00:00,light,< 1 minute
Airdrie,AB,2017-08-22T22:45:00,light,< 1 minute
Prairie Village,KS,2017-08-22T21:45:00,light,1 - 5 minutes
South Bend,IN,2017-08-22T21:30:00,changing,1 - 5 minutes
Duncansville,PA,2017-08-22T20:20:00,teardrop,1 - 5 minutes
Sunnyside,WA,2017-08-22T20:05:00,other,1 - 5 minutes
Malta,XX,2017-08-22T18:30:00,flash,< 1 minute
Corona,CA,2017-08-22T17:30:00,oval,61 - 120 minutes
Buckeye,AZ,2017-08-22T04:00:00,light,61 - 120 minutes
Truro,NS,2017-08-21T21:30:00,changing,1 - 5 minutes
New Port Richey,FL,2017-08-21T19:00:00,disk,1 - 5 minutes
Barboursville,WV,2017-08-21T15:10:00,cross,< 1 minute
Catonsville,MD,2017-08-21T14:40:00,disk,1 - 5 minutes
Glenwood,NJ,2017-08-21T14:39:00,oval,< 1 minute
East Windsor,CT,2017-08-21T14:39:00,circle,< 1 minute
Hendersonville,TN,2017-08-21T13:47:00,unknown,< 1 minute
Antioch,TN,2017-08-21T13:30:00,circle,1 - 5 minutes
Nashville,TN,2017-08-21T13:00:00,other,< 1 minute
Colorado Springs,CO,2017-08-21T11:47:00,disk,< 1 minute
Caldwell,ID,2017-08-21T11:27:00,triangle,< 1 minute
Ellicott City,MD,2017-08-21T11:20:00,triangle,1 - 5 minutes
Evansville,IN,2017-08-21T11:15:00,disk,1 - 5 minutes
Ely,NV,2017-08-21T05:00:00,circle,< 1 minute
Delray Beach,FL,2017-08-21T03:35:00,oval,1 - 5 minutes
Barboursville,WV,2017-08-21T03:10:00,unknown,< 1 minute
Dateland,AZ,2017-08-21T02:30:00,cone,16 - 20 minutes
Mulino,OR,2017-08-21T00:00:00,other,1 - 5 minutes
Cleveland,TN,2017-08-20T23:00:00,flash,1 - 5 minutes
Seattle,WA,2017-08-20T18:30:00,unknown,6 - 10 minutes
White Plains,MD,2017-08-20T05:30:00,unknown,1 - 5 minutes
Reading,PA,2017-08-19T23:00:00,formation,1 - 5 minutes
Lake Wiley,NC,2017-08-19T23:00:00,fireball,< 1 minute
Sedona,AZ,2017-08-19T23:00:00,cone,6 - 10 minutes
Bridgeton,MO,2017-08-19T22:40:00,light,< 1 minute
Cape May Wildwood Crest,NJ,2017-08-19T22:20:00,unknown,6 - 10 minutes
Cape May,NJ,2017-08-19T22:00:00,formation,1 - 5 minutes
Traverse City,MI,2017-08-19T21:50:00,circle,6 - 10 minutes
Sanford,FL,2017-08-19T21:30:00,sphere,6 - 10 minutes
Cortez,CO,2017-08-19T21:15:00,light,1 - 5 minutes
Beckley,WV,2017-08-19T21:00:00,light,1 - 5 minutes
Oakdale,CT,2017-08-19T21:00:00,unknown,1 - 5 minutes
Springhill,FL,2017-08-19T21:00:00,teardrop,< 1 minute
Wrightsville,PA,2017-08-19T20:10:00,disk,1 - 5 minutes
Oxford,OH,2017-08-19T19:00:00,flash,6 - 10 minutes
Elk Grove,CA,2017-08-19T18:50:00,changing,1 - 5 minutes
Brainerd,MN,2017-08-19T18:00:00,light,< 1 minute
Los Angeles,CA,2017-08-19T17:08:00,chevron,1 - 5 minutes
Lanesboro,MA,2017-08-19T15:10:00,unknown,< 1 minute
Winter Haven,FL,2017-08-19T10:30:00,formation,6 - 10 minutes
New York,NY,2017-08-19T06:20:00,egg,1 - 5 minutes
Glendale,AZ,2017-08-18T21:40:00,flash,1 - 5 minutes
West Palm,FL,2017-08-18T21:00:00,triangle,6 - 10 minutes
Staten Island,NY,2017-08-18T18:30:00,oval,1 - 5 minutes
Edmonton,AB,2017-08-18T15:00:00,triangle,< 1 minute
Mesa,AZ,2017-08-18T09:45:00,other,6 - 10 minutes
Montello,NV,2017-08-17T22:00:00,unknown,1 - 5 minutes
Henrico,VA,2017-08-17T21:10:00,light,1 - 5 minutes
Smithfield,RI,2017-08-17T21:02:00,light,< 1 minute
Turlock,CA,2017-08-17T21:00:00,light,1 - 5 minutes
New Port Richey,FL,2017-08-17T21:00:00,rectangle,< 1 minute
Aurora,CO,2017-08-17T21:00:00,disk,6 - 10 minutes
Grand Isle,ME,2017-08-17T03:17:00,sphere,1 - 5 minutes
Cedar Park,TX,2017-08-17T01:00:00,light,< 1 minute
Lake Elsinore,CA,2017-08-17T01:00:00,light,16 - 20 minutes
Moraine,OK,2017-08-16T23:30:00,light,< 1 minute
Bayshore,NY,2017-08-16T23:07:00,light,< 1 minute
Becket,MA,2017-08-16T22:20:00,oval,1 - 5 minutes
Warwick,RI,2017-08-16T22:00:00,other,1 - 5 minutes
Johnstown,CO,2017-08-16T21:05:00,light,1 - 5 minutes
Hampton Beach,NH,2017-08-16T21:00:00,other,< 1 minute
Loudon,NH,2017-08-16T20:30:00,triangle,1 - 5 minutes
El Centro,CA,2017-08-16T20:28:00,light,< 1 minute
Perkasie,PA,2017-08-16T20:00:00,circle,1 - 5 minutes
Vernon,AL,2017-08-16T16:00:00,changing,1 - 5 minutes
Coventry,RI,2017-08-16T10:00:00,other,1 - 5 minutes
Garden City,KS,2017-08-16T03:00:00,light,61 - 120 minutes
Montrose,IL,2017-08-15T23:00:00,light,16 - 20 minutes
Cape Coral,FL,2017-08-15T22:33:00,fireball,1 - 5 minutes
Henderson,NV,2017-08-15T21:40:00,flash,1 - 5 minutes
Yountville,CA,2017-08-15T21:30:00,light,6 - 10 minutes
Jensen Beach,FL,2017-08-15T21:30:00,circle,1 - 5 minutes
Tobyhanna,PA,2017-08-15T20:40:00,light,6 - 10 minutes
Cold Springs,AL,2017-08-15T17:00:00,triangle,1 - 5 minutes
Silverton,OR,2017-08-15T17:00:00,egg,1 - 5 minutes
Mexico,XX,2017-08-15T16:00:00,rectangle,1 - 5 minutes
Seattle,WA,2017-08-15T11:00:00,changing,< 1 minute
Oakwood Hills,IL,2017-08-15T03:15:00,light,21 - 30 minutes
Portland,OR,2017-08-15T01:15:00,unknown,< 1 minute
Georgetown,TX,2017-08-15T00:30:00,flash,1 - 5 minutes
Las Vegas,NV,2017-08-15T00:00:00,other,16 - 20 minutes
